,Deutsch,Wissenschaftlich
222,Dunkelwasserläufer,Tringa+erythropus
223,Grünschenkel,Tringa+nebularia
224,Großer Gelbschenkel,Tringa+melanoleuca
225,Reiherläufer,Dromas+ardeola
226,Rennvogel,Cursorius+cursor
227,Rotflügel-Brachschwalbe,Glareola+pratincola
228,Orientbrachschwalbe,Glareola+maldivarum
229,Schwarzflügel-Brachschwalbe,Glareola+nordmanni
230,Dreizehenmöwe,Rissa+tridactyla
231,Elfenbeinmöwe,Pagophila+eburnea
232,Schwalbenmöwe,Xema+sabini
233,Dünnschnabelmöwe,Chroicocephalus+genei
234,Bonapartemöwe,Chroicocephalus+philadelphia
235,Lachmöwe,Chroicocephalus+ridibundus
236,Zwergmöwe,Hydrocoloeus+minutus
237,Rosenmöwe,Rhodostethia+rosea
238,Aztekenmöwe,Leucophaeus+atricilla
239,Präriemöwe,Leucophaeus+pipixcan
240,Korallenmöwe,Ichthyaetus+audouinii
241,Schwarzkopfmöwe,Ichthyaetus+melanocephalus
242,Fischmöwe,Ichthyaetus+ichthyaetus
243,Sturmmöwe,Larus+canus
244,Ringschnabelmöwe,Larus+delawarensis
245,Mantelmöwe,Larus+marinus
246,Beringmöwe,Larus+glaucescens
247,Eismöwe,Larus+hyperboreus
248,Polarmöwe,Larus+glaucoides
249,Silbermöwe,Larus+argentatus
250,Kanadamöwe,Larus+smithsonianus
251,Steppenmöwe,Larus+cachinnans
252,Mittelmeermöwe,Larus+michahellis
253,Armenienmöwe,Larus+armenicus
254,Heringsmöwe,Larus+fuscus
255,Lachseeschwalbe,Gelochelidon+nilotica
256,Raubseeschwalbe,Hydroprogne+caspia
257,Königsseeschwalbe,Thalasseus+maximus
258,Rüppellseeschwalbe,Thalasseus+bengalensis
259,Brandseeschwalbe,Thalasseus+sandvicensis
260,Schmuckseeschwalbe,Thalasseus+elegans
261,Zwergseeschwalbe,Sternula+albifrons
262,Zügelseeschwalbe,Onychoprion+anaethetus
263,Rußseeschwalbe,Onychoprion+fuscatus
264,Rosenseeschwalbe,Sterna+dougallii
265,Flussseeschwalbe,Sterna+hirundo
266,Küstenseeschwalbe,Sterna+paradisaea
267,Forsterseeschwalbe,Sterna+forsteri
268,Weißbart-Seeschwalbe,Chlidonias+hybrida
269,Weißflügel-Seeschwalbe,Chlidonias+leucopterus
270,Trauerseeschwalbe,Chlidonias+niger
271,Antarktikskua,Stercorarius+maccormicki
272,Subantarktikskua,Stercorarius+antarcticus
273,Skua,Stercorarius+skua
274,Spatelraubmöwe,Stercorarius+pomarinus
275,Schmarotzerraubmöwe,Stercorarius+parasiticus
276,Falkenraubmöwe,Stercorarius+longicaudus
277,Krabbentaucher,Alle+alle
278,Dickschnabellumme,Uria+lomvia
279,Trottellumme,Uria+aalge
280,Tordalk,Alca+torda
281,Gryllteiste,Cepphus+grylle
